Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
SVM,0.9,0.8984615384615384,0.9,0.8974545454545454
Naive Bayes,0.9,0.9088319088319088,0.9,0.8963137254901962
KNN,0.8666666666666667,0.8688319088319089,0.8666666666666667,0.8627206518971224
XGBoost,0.8,0.8183333333333334,0.8,0.8034632034632035
Random Forest,0.8,0.8272222222222222,0.8,0.7989417989417988
Gradient Boosting,0.7333333333333333,0.745,0.7333333333333333,0.7337662337662337
Decision Tree,0.6666666666666666,0.6716666666666666,0.6666666666666666,0.664069264069264
